episode,length,totalReward,avgQ,exploration
0,200,-200.0,-0.39543500542640686,0.9970089730807579
1,200,-200.0,-0.8003940582275391,0.9940268924035474
2,200,-200.0,-0.8227415084838867,0.9910537312099177
3,200,-200.0,-0.8235519528388977,0.9880894628214534
4,200,-200.0,-0.8221827745437622,0.9851340606395349
5,200,-200.0,-1.692119836807251,0.9821874981450998
6,200,-200.0,-1.8097031116485596,0.9792497488984047
7,200,-200.0,-1.8166519403457642,0.9763207865387884
8,200,-200.0,-1.810915231704712,0.9734005847844353
9,200,-200.0,-1.8077348470687866,0.970489117432139
10,200,-200.0,-2.7737789154052734,0.9675863583570679
11,200,-200.0,-2.7962899208068848,0.9646922815125304
12,200,-200.0,-2.7870726585388184,0.9618068609297413
13,200,-200.0,-2.800433874130249,0.9589300707175886
14,200,-200.0,-2.7803826332092285,0.9560618850624015
15,200,-200.0,-3.8204283714294434,0.9532022782277185
16,200,-200.0,-3.7362213134765625,0.9503512245540564
17,200,-200.0,-3.7636427879333496,0.9475086984586805
18,200,-200.0,-3.7592456340789795,0.9446746744353745
19,200,-200.0,-3.7474098205566406,0.9418491270542119
20,200,-200.0,-4.812547206878662,0.939032030961328
21,200,-200.0,-4.69036865234375,0.9362233608786921
22,200,-200.0,-4.7091193199157715,0.9334230916038805
23,200,-200.0,-4.7104973793029785,0.9306311980098511
24,200,-200.0,-4.714899063110352,0.927847655044717
25,200,-200.0,-5.709818363189697,0.9250724377315225
26,200,-200.0,-5.6572265625,0.9223055211680186
27,200,-200.0,-5.664735317230225,0.9195468805264393
28,200,-200.0,-5.668554306030273,0.9167964910532795
29,200,-200.0,-5.681856632232666,0.9140543280690724
30,200,-200.0,-6.609391212463379,0.911320366968168
31,200,-200.0,-6.637989044189453,0.9085945832185125
32,200,-200.0,-6.618830680847168,0.9058769523614283
33,200,-200.0,-6.636061668395996,0.9031674500113942
34,200,-200.0,-6.625815391540527,0.9004660518558268
35,200,-200.0,-7.491966247558594,0.8977727336548623
36,200,-200.0,-7.570725917816162,0.895087471241139
37,200,-200.0,-7.558333396911621,0.8924102405195803
38,200,-200.0,-7.574156761169434,0.8897410174671788
39,200,-200.0,-7.564016819000244,0.8870797781327806
40,200,-200.0,-8.396001815795898,0.8844264986368701
41,200,-200.0,-8.489738464355469,0.8817811551713561
42,200,-200.0,-8.490626335144043,0.8791437239993581
43,200,-200.0,-8.487642288208008,0.8765141814549933
44,200,-200.0,-8.485158920288086,0.8738925039431639
45,200,-200.0,-9.269773483276367,0.8712786679393459
46,200,-200.0,-9.39696979522705,0.8686726499893779
47,200,-200.0,-9.407474517822266,0.8660744267092502
48,200,-200.0,-9.414748191833496,0.8634839747848956
49,200,-200.0,-9.384031295776367,0.8609012709719798
50,200,-200.0,-10.166293144226074,0.8583262920956928
51,200,-200.0,-10.298962593078613,0.8557590150505412
52,200,-200.0,-10.286776542663574,0.8531994168001409
53,200,-200.0,-10.27762508392334,0.8506474743770099
54,200,-200.0,-10.310012817382812,0.8481031648823629
55,200,-200.0,-11.113289833068848,0.8455664654859053
56,200,-200.0,-11.21895980834961,0.8430373534256285
57,200,-200.0,-11.214037895202637,0.8405158060076058
58,200,-200.0,-11.215298652648926,0.8380018006057885
59,200,-200.0,-11.206276893615723,0.8354953146618033
60,200,-200.0,-12.056539535522461,0.8329963256847491
61,200,-200.0,-12.11197280883789,0.8305048112509962
62,200,-200.0,-12.105700492858887,0.8280207490039844
63,200,-200.0,-12.100488662719727,0.8255441166540224
64,200,-200.0,-12.087982177734375,0.8230748919780883
65,200,-200.0,-12.972471237182617,0.8206130528196295
66,200,-200.0,-13.002650260925293,0.8181585770883645
67,200,-200.0,-12.96540641784668,0.8157114427600843
68,200,-200.0,-12.9445219039917,0.813271627876455
69,200,-200.0,-12.968948364257812,0.8108391105448206
70,200,-200.0,-13.879290580749512,0.8084138689380067
71,200,-200.0,-13.851469039916992,0.8059958812941245
72,200,-200.0,-13.847763061523438,0.8035851259163754
73,200,-200.0,-13.852800369262695,0.801181581172857
74,200,-200.0,-13.837541580200195,0.798785225496368
75,200,-200.0,-14.776890754699707,0.7963960373842154
76,200,-200.0,-14.698616027832031,0.7940139953980214
77,200,-200.0,-14.70164680480957,0.791639078163531
78,200,-200.0,-14.690953254699707,0.7892712643704198
79,200,-200.0,-14.704989433288574,0.7869105327721037
80,200,-200.0,-15.64763355255127,0.7845568621855471
81,200,-200.0,-15.53807544708252,0.7822102314910739
82,200,-200.0,-15.567172050476074,0.7798706196321775
83,200,-200.0,-15.539640426635742,0.7775380056153316
84,200,-200.0,-15.5662202835083,0.7752123685098022
85,200,-200.0,-16.525211334228516,0.7728936874474599
86,200,-200.0,-16.402597427368164,0.7705819416225922
87,200,-200.0,-16.42922592163086,0.7682771102917171
88,200,-200.0,-16.38917350769043,0.765979172773397
89,200,-200.0,-16.394290924072266,0.7636881084480529
90,200,-200.0,-17.30686378479004,0.7614038967577796
91,200,-200.0,-17.214109420776367,0.7591265172061612
92,200,-200.0,-17.198139190673828,0.756855949358087
93,200,-200.0,-17.222919464111328,0.7545921728395684
94,200,-200.0,-17.22066879272461,0.7523351673375558
95,200,-200.0,-18.149188995361328,0.7500849125997566
96,200,-200.0,-18.016616821289062,0.7478413884344534
97,200,-200.0,-18.037395477294922,0.7456045747103225
98,200,-200.0,-18.033937454223633,0.7433744513562538
99,200,-200.0,-18.049833297729492,0.7411509983611704
100,200,-200.0,-18.92574691772461,0.7389341957738489
101,200,-200.0,-18.87410545349121,0.7367240237027407
102,200,-200.0,-18.859790802001953,0.7345204623157934
103,200,-200.0,-18.853130340576172,0.7323234918402727
104,200,-200.0,-18.86103630065918,0.730133092562585
105,200,-200.0,-19.715330123901367,0.7279492448281007
106,200,-200.0,-19.66289710998535,0.7257719290409779
107,200,-200.0,-19.659603118896484,0.723601125663986
108,200,-200.0,-19.668916702270508,0.7214368152183311
109,200,-200.0,-19.639556884765625,0.7192789782834808
110,200,-200.0,-20.460302352905273,0.7171275954969899
111,200,-200.0,-20.465457916259766,0.7149826475543269
112,200,-200.0,-20.427730560302734,0.712844115208701
113,200,-200.0,-20.446063995361328,0.7107119792708884
114,200,-200.0,-20.43096923828125,0.7085862206090613
115,200,-200.0,-21.206695556640625,0.7064668201486155
116,200,-200.0,-21.219539642333984,0.7043537588719996
117,200,-200.0,-21.223012924194336,0.702247017818544
118,200,-200.0,-21.19645118713379,0.7001465780842913
119,200,-200.0,-21.21955108642578,0.6980524208218258
120,200,-200.0,-21.958465576171875,0.6959645272401056
121,200,-200.0,-22.004131317138672,0.6938828786042928
122,200,-200.0,-22.003711700439453,0.691807456235586
123,200,-200.0,-21.97774887084961,0.689738241511053
124,200,-200.0,-21.982728958129883,0.6876752158634627
125,200,-200.0,-22.70203399658203,0.6856183607811194
126,200,-200.0,-22.759654998779297,0.6835676578076963
127,200,-200.0,-22.75503158569336,0.6815230885420702
128,200,-200.0,-22.732402801513672,0.6794846346381558
129,200,-200.0,-22.733518600463867,0.6774522778047416
130,200,-200.0,-23.419879913330078,0.6754259998053257
131,200,-200.0,-23.5008544921875,0.6734057824579519
132,200,-200.0,-23.50766372680664,0.6713916076350468
133,200,-200.0,-23.471878051757812,0.6693834572632571
134,200,-200.0,-23.468456268310547,0.6673813133232873
135,200,-200.0,-24.14219093322754,0.6653851578497382
136,200,-200.0,-24.204164505004883,0.6633949729309454
137,200,-200.0,-24.20252227783203,0.661410740708819
138,200,-200.0,-24.21060562133789,0.659432443378683
139,200,-200.0,-24.207069396972656,0.6574600631891158
140,200,-200.0,-24.868513107299805,0.6554935824417905
141,200,-200.0,-24.941091537475586,0.6535329834913166
142,200,-200.0,-24.9329833984375,0.6515782487450814
143,200,-200.0,-24.933582305908203,0.6496293606630922
144,200,-200.0,-24.925880432128906,0.6476863017578188
145,200,-200.0,-25.585853576660156,0.6457490545940368
146,200,-200.0,-25.62522315979004,0.6438176017886708
147,200,-200.0,-25.637908935546875,0.6418919260106389
148,200,-200.0,-25.619342803955078,0.6399720099806969
149,200,-200.0,-25.63437271118164,0.6380578364712831
150,200,-200.0,-26.270954132080078,0.6361493883063641
151,200,-200.0,-26.355667114257812,0.6342466483612804
152,200,-200.0,-26.35638999938965,0.6323495995625927
153,200,-200.0,-26.319744110107422,0.630458224887929
154,200,-200.0,-26.341670989990234,0.6285725073658316
155,200,-200.0,-26.95937156677246,0.6266924300756048
156,200,-200.0,-27.030590057373047,0.6248179761471634
157,200,-200.0,-27.070037841796875,0.6229491287608808
158,200,-200.0,-27.056018829345703,0.6210858711474386
