episode,length,totalReward,avgQ,exploration
0,94,-116.5458879256449,0.02947751060128212,0.9950248756218907
1,102,-92.5945973460421,0.30207395553588867,0.990074503106359
2,92,-95.82454056748502,0.9123502969741821,0.98514875930981
3,82,-185.6352459309232,1.4096710681915283,0.9802475217013037
4,107,-260.83072768482646,1.4112606048583984,0.9753706683595063
5,79,-99.85275261537238,1.0861001014709473,0.970518077969658
6,132,-145.7266671502092,0.43687716126441956,0.9656896298205554
7,96,-364.1745867161376,0.29330700635910034,0.9608852038015477
8,65,-147.50251185268536,0.16664880514144897,0.9561046803995501
9,72,-272.56195778769165,-0.029199901968240738,0.9513479406960699
10,152,-236.95911527502486,0.3657843768596649,0.9466148663642487
11,93,-167.1526366502938,0.5227572917938232,0.9419053396659193
12,80,-172.73924258916054,0.9192987680435181,0.937219243448676
13,71,-81.25557709005099,0.690941333770752,0.9325564611429613
14,83,-34.652641164258384,0.9302089810371399,0.9279168767591656
15,107,-244.1925263884338,0.7867754697799683,0.9233003748847419
16,130,-3.2542802515403793,0.7640969753265381,0.9187068406813353
17,107,-115.32782798600479,0.7814856171607971,0.9141361598819259
18,115,-220.98719664559403,0.7426121234893799,0.909588218787986
19,79,-231.86124824871217,0.6793042421340942,0.9050629042666528
20,125,-150.58501749143795,1.5122582912445068,0.9005601037479133
21,78,-119.7810009931521,1.6025804281234741,0.8960797052218044
22,99,-271.0345392277211,1.3291414976119995,0.8916215972356263
23,151,-330.04731577472137,1.241756558418274,0.8871856688911706
24,105,-97.86583642114,1.3369381427764893,0.8827718098419609
25,88,-122.35787153689623,1.0410999059677124,0.8783799102905084
26,118,-195.13328806213866,1.349989891052246,0.8740098609855806
27,111,-143.98657658183816,1.3632030487060547,0.8696615532194834
28,98,-115.8033276329316,1.2064898014068604,0.8653348788253566
29,113,-99.64749724038762,2.0467305183410645,0.8610297301744844
30,85,-72.98042046808077,2.467289447784424,0.8567460001736164
31,69,-86.32880451871951,2.343306064605713,0.8524835822623049
32,134,-115.03442795531282,2.238086223602295,0.8482423704102537
33,78,-41.22728481947788,2.2286882400512695,0.8440222591146804
34,137,-113.16995714365487,2.2582571506500244,0.839823143397692
35,128,-120.39364495606863,2.316664457321167,0.8356449188036738
36,121,-128.1607638153764,2.4181339740753174,0.8314874813966904
37,98,-152.84218079503242,2.480173110961914,0.827350727757901
38,78,-64.6634929845701,2.219442367553711,0.8232345549829861
39,59,-169.1680183032814,2.431746006011963,0.8191388606795883
40,102,-164.5331194421401,3.5949764251708984,0.8150635429647646
41,143,-291.4915729614219,3.1360464096069336,0.8110085004624524
42,127,-82.65430883323569,3.2088160514831543,0.8069736323009478
43,110,-141.5569612498582,3.0118517875671387,0.8029588381103959
44,131,-126.0251960214814,3.2050392627716064,0.7989640180202945
45,129,-139.052593527746,3.241299867630005,0.7949890726570096
46,109,-245.77916922520674,3.1248135566711426,0.7910339031413032
47,118,-224.57791247955285,2.972372055053711,0.7870984110858739
48,114,-198.78581880432463,4.137702941894531,0.7831824985929094
49,87,-21.280448325657957,3.6260857582092285,0.7792860682516513
50,116,-206.72251215815913,3.5720229148864746,0.7754090231359715
51,117,-362.0417296799497,3.721930980682373,0.7715512668019617
52,123,-166.4300280732125,3.522414445877075,0.7677127032855341
53,104,-53.92674115022436,3.5826575756073,0.763893237100034
54,78,-98.60908006971415,3.640869140625,0.7600927732338647
55,81,-58.84748246942528,3.4531288146972656,0.7563112171481242
56,119,-124.4327823416532,3.643488645553589,0.752548474774253
57,105,-102.97361163661473,4.998987197875977,0.7488044525116946
58,98,-72.35287132522613,4.328335762023926,0.7450790572255668
59,95,-136.02178366955576,4.722073554992676,0.7413721962443451
60,89,-104.98632453192131,4.37982702255249,0.7376837773575574
61,70,-66.58354633896857,4.724722862243652,0.73401370881349
62,113,-91.78481145225106,4.541823387145996,0.7303618993169055
63,128,-105.47122395148057,4.390030860900879,0.7267282580267718
64,103,-56.80862118414291,4.4934492111206055,0.7231126945540018
65,77,-79.06472301900409,4.314282417297363,0.719515118959206
66,111,-94.15217722873375,4.380897521972656,0.7159354417504538
67,118,-79.52517167122853,5.813894748687744,0.7123735738810486
68,140,-92.51229668717163,5.5457563400268555,0.7088294267473121
69,74,-68.41758490321182,5.298619270324707,0.7053029121863803
70,123,-106.67717282538831,5.681284427642822,0.7017939424740103
71,135,-47.639304826566516,5.377969741821289,0.6983024303223984
72,210,-92.87305534328644,5.379483222961426,0.6948282888780084
73,118,-156.15961724107143,5.5702009201049805,0.6913714317194114
74,93,-54.29376424578659,5.374864101409912,0.6879317728551358
75,85,-62.40376653559886,5.784008502960205,0.6845092267215283
76,141,-72.66466497840314,6.473966121673584,0.6811037081806252
77,126,-97.04457034427115,6.748852729797363,0.6777151325180351
78,131,-102.92311163933701,6.8024702072143555,0.674343415440831
79,213,-42.509583329553124,6.379894256591797,0.6709884730754538
80,139,-91.55311322592276,6.368045806884766,0.6676502219656257
81,141,-108.67599873786787,6.473793983459473,0.6643285790702744
82,138,-158.2985960041292,7.997470855712891,0.6610234617614672
83,133,-37.580637681757466,7.7620062828063965,0.6577347878223555
84,141,-63.31402562132763,7.208898067474365,0.6544624754451299
85,74,-55.016492391180726,7.634566307067871,0.651206443228985
86,144,-40.57687502720955,7.618325233459473,0.6479666101780946
87,148,-63.49215076319182,7.619712829589844,0.6447428956995968
88,79,-83.95716705358461,7.306626796722412,0.6415352196015889
89,99,-83.41338890355685,7.4594316482543945,0.6383435020911333
90,147,-51.924887878199854,7.788792610168457,0.6351676637722721
91,118,-57.82232694723443,8.667570114135742,0.6320076256440519
92,107,-78.35863422744566,8.905420303344727,0.6288633090985591
93,219,-41.88126067458819,8.854120254516602,0.6257346359189644
94,110,-228.0060182563081,8.490730285644531,0.6226215282775766
95,171,-58.50319298695888,8.832207679748535,0.6195239087339071
96,145,-63.249352671786156,8.49576187133789,0.6164417002327434
97,176,-15.311332594085826,9.467805862426758,0.6133748261022323
98,123,-14.542481206778518,9.549055099487305,0.6103232100519724
99,158,-7.228165374149754,9.547093391418457,0.6072867761711169
100,168,-19.35274371861466,9.560583114624023,0.6042654489264846
101,131,-105.06424328521753,9.228605270385742,0.6012591531606812
102,140,-29.117531914684676,9.59549331665039,0.5982678140902301
103,183,-45.3931478886047,9.647241592407227,0.5952913573037116
104,161,-31.348001674664005,10.626553535461426,0.5923297087599121
105,88,5.12387879532622,10.658288955688477,0.5893827947859822
106,238,-69.20425612373779,10.641459465026855,0.5864505420756042
107,175,-91.94999339426641,10.932918548583984,0.5835328776871684
108,103,-45.60350747240761,10.6129789352417,0.5806297290419588
109,159,-218.75943634568398,10.443081855773926,0.577741023922347
110,98,-61.6903438878514,10.614362716674805,0.5748666904699972
111,157,-67.48294048339073,11.751448631286621,0.5720066571840768
112,1000,26.15809734602124,13.346827507019043,0.5691608529194795
113,206,-21.69870617794851,13.019172668457031,0.5663292068850543
114,234,-42.58437248258747,12.866165161132812,0.5635116486418451
115,210,-38.341515154418126,12.779885292053223,0.5607081081013385
116,108,-44.48393247050382,12.606451988220215,0.55791851552372
117,171,-4.546854120658807,13.380528450012207,0.5551428015161394
118,120,-19.637497992361276,13.938583374023438,0.5523808970309845
119,145,-99.54512966525182,14.0523042678833,0.5496327333641637
120,118,40.596824400677775,13.811141967773438,0.5468982421533968
121,121,-54.64269286097641,13.652921676635742,0.5441773553765142
122,157,-42.80768692541538,13.985336303710938,0.5414700053497654
123,111,-22.883087679676123,13.629557609558105,0.5387761247261348
124,94,-69.09898887811092,13.559529304504395,0.5360956464936665
125,206,-5.53620152214782,14.878056526184082,0.5334285039737976
126,217,-30.822952281486977,15.088276863098145,0.5307746308196991
127,187,-7.919092815317015,14.559494018554688,0.5281339610146261
128,141,-37.12465856920358,14.934926986694336,0.5255064288702748
129,100,-39.891128358981334,14.792655944824219,0.5228919690251491
130,1000,47.95855097197463,15.620689392089844,0.5202905164429344
131,136,-222.31083791116203,15.370901107788086,0.5177020064108802
132,196,-6.370688823711575,15.725131034851074,0.5151263745381892
133,162,-7.46307670192104,16.157756805419922,0.5125635567544172
134,179,-237.07480912788856,16.252567291259766,0.5100134893078779
135,79,-62.182344035137206,16.483531951904297,0.5074761087640577
136,1000,86.85998951625449,17.237346649169922,0.5049513520040375
137,1000,51.86215814252398,17.685291290283203,0.5024391562229229
138,244,-45.472760059430485,17.583415985107422,0.49993945892828157
139,133,-31.659134995194023,17.69434356689453,0.4974521979385887
140,144,-11.654820412794223,18.00550651550293,0.49497731138168033
141,165,-18.50092535333708,18.085010528564453,0.4925147376932143
142,146,9.952257405010343,18.45577621459961,0.49006441561513864
143,131,-161.22177149271533,18.06402015686035,0.48762628419416787
144,167,-27.215335520694097,18.34394073486328,0.4852002827802666
145,226,-0.9946391097052896,18.08392906188965,0.48278635102514095
146,190,-7.014854950761972,19.386259078979492,0.4803844288807373
147,91,-12.333198121515736,18.73464584350586,0.4779944565977486
148,1000,31.984961465485345,19.363811492919922,0.475616374724128
149,211,-16.47534908498899,19.246397018432617,0.47325012410361
150,1000,26.846647234447467,19.583202362060547,0.4708956458742389
151,223,-26.99939562410482,19.292850494384766,0.4685528814669044
152,1000,-106.321950182519,19.567096710205078,0.46622177260388503
153,134,-40.88708649945069,19.875843048095703,0.4639022612973981
154,117,11.7364651818649,20.034420013427734,0.46159428984815737
155,80,-1.430311869830092,19.86898422241211,0.45929780084393773
156,161,-11.756587025611196,20.407108306884766,0.45701273715814705
157,747,-244.51573943483766,20.57959747314453,0.4547390419484051
158,141,10.47678078231192,19.853225708007812,0.4524766586551295
159,1000,-9.524467771991192,20.903221130371094,0.4502255310001289
160,1000,43.45323331574319,21.361858367919922,0.44798560298520296
161,1000,56.142273260951015,21.605844497680664,0.44575681889074925
162,1000,0.7829215101378968,22.50204849243164,0.4435391232743774
163,125,-31.827585276513716,22.417749404907227,0.44133246096952977
164,257,-42.9572181986148,21.761707305908203,0.43913677708410925
165,103,-177.1411616536783,23.044116973876953,0.43695201699911373
166,1000,50.47796614633597,22.30796241760254,0.4347781263672774
167,173,14.385891285396895,22.285037994384766,0.4326150511117189
168,660,-208.24847124519064,22.419879913330078,0.43046273742459595
169,93,2.7469995223499524,22.25187110900879,0.42832113176576714
170,95,25.3480710808537,23.033905029296875,0.4261901808614599
171,110,-4.44985139963309,22.714582443237305,0.4240698317029452
172,121,-19.107222114968508,22.712421417236328,0.42196003154521916
173,156,-13.896267762374563,23.048540115356445,0.41986072790569073
174,166,-69.76950513834475,23.87582778930664,0.4177718685628764
175,147,-7.749645057476471,23.672428131103516,0.4156934015551009
176,232,-125.35512139914151,24.079540252685547,0.41362527517920494
177,89,-152.1184431293818,24.112003326416016,0.4115674379892587
178,71,-38.91499565717122,23.611982345581055,0.40951983879528236
179,86,16.561394276810873,23.595529556274414,0.40748242666197254
180,154,-9.833492788056631,23.43684959411621,0.4054551509074354
181,97,-22.664957535233228,23.505199432373047,0.4034379611019258
182,78,-36.235449005089826,23.784337997436523,0.4014308070665929
183,967,-244.17623716329373,23.741546630859375,0.39943363887223177
184,1000,4.108410478372832,24.002681732177734,0.3974464068380416
185,869,-372.39109470091984,24.933189392089844,0.3954690615303897
186,142,29.721405960923164,25.01511001586914,0.3935015537615818
187,339,-22.345164660771417,25.602920532226562,0.3915438345886387
188,1000,-4.169051012363887,25.987590789794922,0.3895958553120783
189,106,-49.052715075071205,26.103830337524414,0.3876575674747048
190,620,-42.110020412645554,27.317707061767578,0.38572892286040283
191,322,-135.12638243485895,26.032413482666016,0.38380987349293816
192,132,-1.6348135521880351,26.855670928955078,0.38190037163476437
193,201,-133.84377060672554,26.341537475585938,0.38000036978583523
194,470,-221.89749253230443,27.157312393188477,0.37810982068242316
195,105,8.76489725490896,27.110681533813477,0.3762286772959435
196,238,-99.19619229330901,27.41090965270996,0.37435689283178464
197,108,15.408634332307415,26.75875473022461,0.372494420728144
198,971,-263.79487098492996,27.002758026123047,0.37064121465486966
199,251,-69.26472408923527,27.94338607788086,0.3687972285123082
200,886,-220.26976559928914,27.979639053344727,0.3669624164301574
201,130,-25.73178399469988,27.856090545654297,0.36513673276632586
202,1000,-48.94546645564871,28.526403427124023,0.3633201321057969
203,101,3.2582660292918177,28.539215087890625,0.36151256925949943
204,162,-53.814130192009955,29.188091278076172,0.35971399926318354
205,1000,-24.35622851430651,30.007654190063477,0.35792437737630206
206,124,-39.27367697983,29.719440460205078,0.3561436590808976
207,102,-51.695369162759405,29.286235809326172,0.3543718000804952
208,108,33.319042462530575,29.010976791381836,0.35260875629900024
209,1000,9.863836448234997,29.35623550415039,0.3508544838796023
210,100,0.12242137810605414,29.678237915039062,0.3491089391836839
211,1000,-93.65261064618694,30.059146881103516,0.34737207878973525
212,1000,-67.64506019707795,30.86407470703125,0.34564385949227394
213,96,-76.92980093894246,30.442378997802734,0.3439242383007701
214,324,-93.49608369867954,30.714895248413086,0.3422131724385773
